"snapshot_id","price_rank","merchant_alias","price","min_amount","max_amount","recent_order_num","recent_execute_rate","gap_from_best_pct","snapshot_median_price"
2378,306,"merchant_186",95.0000,10000.00,966096.05,2078,100.000,11.7647,91.0000
2378,307,"merchant_050",95.0000,5000.00,20000.00,553,100.000,11.7647,91.0000
2378,308,"merchant_098",95.0000,10000.00,10480.00,378,99.000,11.7647,91.0000
2378,309,"merchant_045",95.0700,5000.00,10273.17,116,99.000,11.8471,91.0000
2378,310,"merchant_074",95.4400,1000.00,88104.83,300,100.000,12.2824,91.0000
2378,311,"merchant_220",95.5000,11000.00,481066.95,401,99.000,12.3529,91.0000
2378,312,"merchant_180",95.5000,5000.00,572962.64,2765,100.000,12.3529,91.0000
2378,313,"merchant_172",95.5000,50000.00,1000000.00,575,100.000,12.3529,91.0000
2378,314,"merchant_168",95.5500,20000.00,155000.00,555,100.000,12.4118,91.0000
2378,315,"merchant_166",95.8000,3000.00,450000.00,116,100.000,12.7059,91.0000
2378,316,"merchant_060",95.9000,8000.00,90000.00,1062,98.000,12.8235,91.0000
2378,317,"merchant_108",95.9100,10000.00,623926.03,1348,100.000,12.8353,91.0000
2378,318,"merchant_111",95.9100,10000.00,20655.08,508,100.000,12.8353,91.0000
2378,319,"merchant_144",95.9400,1000.00,842152.67,763,99.000,12.8706,91.0000
2378,320,"merchant_138",95.9500,5000.00,100000.00,2619,99.000,12.8824,91.0000
2378,321,"merchant_121",95.9600,500.00,757144.76,1181,99.000,12.8941,91.0000
2378,322,"merchant_145",96.0000,8000.00,12500.00,327,100.000,12.9412,91.0000
2378,323,"merchant_035",96.0000,1000.00,28363.67,379,99.000,12.9412,91.0000
2378,324,"merchant_116",96.0000,5000.00,50000.00,289,99.000,12.9412,91.0000
2378,325,"merchant_069",96.0000,1000.00,68949.44,932,99.000,12.9412,91.0000
2378,326,"merchant_234",96.0000,10000.00,100000.00,1174,99.000,12.9412,91.0000
2378,327,"merchant_010",96.0000,19200.00,19200.00,447,99.000,12.9412,91.0000
2378,328,"merchant_219",96.0000,500000.00,1000000.00,613,100.000,12.9412,91.0000
2378,329,"merchant_082",96.0000,29100.00,29100.00,535,99.000,12.9412,91.0000
2378,330,"merchant_204",96.0600,10000.00,864627.34,1025,100.000,13.0118,91.0000
2378,331,"merchant_118",96.3400,5000.00,240850.00,183,100.000,13.3412,91.0000
2378,332,"merchant_027",96.4000,5000.00,100000.00,57,100.000,13.4118,91.0000
2378,333,"merchant_089",96.5000,3000.00,10000.00,538,99.000,13.5294,91.0000
2378,334,"merchant_149",96.5000,1000.00,212312.18,353,100.000,13.5294,91.0000
2378,335,"merchant_077",96.5000,2000.00,289574.15,430,99.000,13.5294,91.0000
2378,336,"merchant_156",96.5000,2000.00,443164.93,403,100.000,13.5294,91.0000
2378,337,"merchant_012",96.6600,7000.00,527501.87,171,100.000,13.7176,91.0000
2378,338,"merchant_209",96.6700,2000.00,60000.00,384,98.000,13.7294,91.0000
2378,339,"merchant_235",96.6700,500.00,67736.67,838,100.000,13.7294,91.0000
2378,340,"merchant_075",96.7000,5000.00,62154.06,242,100.000,13.7647,91.0000
2378,341,"merchant_229",96.7000,2000.00,19762.20,30,100.000,13.7647,91.0000
2378,342,"merchant_011",96.7000,1000.00,13516.65,99,85.000,13.7647,91.0000
2378,343,"merchant_211",96.7300,1000.00,59856.50,16,100.000,13.8000,91.0000
2378,344,"merchant_013",96.7500,15000.00,300000.00,99,100.000,13.8235,91.0000
2378,345,"merchant_237",96.7500,1000.00,401000.00,597,99.000,13.8235,91.0000
2378,346,"merchant_014",96.7600,500.00,500.00,137,100.000,13.8353,91.0000
2378,347,"merchant_125",96.7600,10000.00,150000.00,1065,99.000,13.8353,91.0000
2378,348,"merchant_128",96.7600,5000.00,90000.00,196,100.000,13.8353,91.0000
2378,349,"merchant_039",96.7600,20000.00,1451400.00,617,100.000,13.8353,91.0000
2378,350,"merchant_114",96.7600,10000.00,39319.79,190,100.000,13.8353,91.0000
2378,351,"merchant_200",96.7600,8000.00,50000.00,18,94.000,13.8353,91.0000
2378,352,"merchant_003",96.7600,5000.00,365941.50,362,100.000,13.8353,91.0000
2378,353,"merchant_220",96.7600,8000.00,663876.52,401,99.000,13.8353,91.0000
2378,354,"merchant_190",96.7600,10000.00,409223.62,33,100.000,13.8353,91.0000
2378,355,"merchant_210",96.7600,500.00,200000.00,584,100.000,13.8353,91.0000
2378,356,"merchant_238",96.7600,3000.00,91663.24,116,99.000,13.8353,91.0000
2378,357,"merchant_228",96.7600,20000.00,49820.18,2094,99.000,13.8353,91.0000
2378,358,"merchant_024",96.7600,1000.00,180943.57,1197,100.000,13.8353,91.0000
2378,359,"merchant_226",96.7600,10000.00,338660.00,294,98.000,13.8353,91.0000
2378,360,"merchant_164",96.7600,500.00,82939.58,860,100.000,13.8353,91.0000
2378,361,"merchant_088",96.7600,10000.00,473800.00,5973,99.000,13.8353,91.0000
2378,362,"merchant_156",96.7600,1000.00,444358.95,403,100.000,13.8353,91.0000
2378,363,"merchant_091",96.7600,2000.00,193520.00,1422,100.000,13.8353,91.0000
2378,364,"merchant_167",96.7600,10000.00,592181.37,1452,99.000,13.8353,91.0000
2378,365,"merchant_219",96.7600,50000.00,300000.00,613,100.000,13.8353,91.0000
